source,target,rate,type
H4|Compromised,H29|Compromised,0.008,spatial
H4|Compromised,H30|Compromised,0.008,spatial
H4|Compromised,H31|Compromised,0.008,spatial
H4|Compromised,H32|Compromised,0.008,spatial
H4|Compromised,H33|Compromised,0.008,spatial
H4|Compromised,H34|Compromised,0.008,spatial
H4|Compromised,H35|Compromised,0.008,spatial
H4|Compromised,H36|Compromised,0.008,spatial
H4|Compromised,H37|Compromised,0.008,spatial
H4|Compromised,H38|Compromised,0.008,spatial
H5|Normal,H5|Compromised,0.02020270731751945,internal
H5|Compromised,H5|Down,0.051293294387550536,internal
H5|Down,H5|Mitigated,0.051293294387550536,internal
H5|Mitigated,H5|Recovered,0.051293294387550536,internal
H5|Compromised,H0|Compromised,0.008,spatial
H5|Compromised,H1|Compromised,0.008,spatial
H5|Compromised,H2|Compromised,0.008,spatial
H5|Compromised,H3|Compromised,0.008,spatial
H5|Compromised,H4|Compromised,0.008,spatial
H5|Compromised,H6|Compromised,0.008,spatial
H5|Compromised,H7|Compromised,0.008,spatial
H5|Compromised,H8|Compromised,0.008,spatial
H5|Compromised,H9|Compromised,0.008,spatial
H5|Compromised,H10|Compromised,0.008,spatial
H5|Compromised,H11|Compromised,0.008,spatial
H5|Compromised,H12|Compromised,0.008,spatial
H5|Compromised,H13|Compromised,0.008,spatial
H5|Compromised,H14|Compromised,0.008,spatial
H5|Compromised,H15|Compromised,0.008,spatial
H5|Compromised,H16|Compromised,0.008,spatial
H5|Compromised,H17|Compromised,0.008,spatial
H5|Compromised,H18|Compromised,0.008,spatial
H5|Compromised,H19|Compromised,0.008,spatial
H5|Compromised,H20|Compromised,0.008,spatial
H5|Compromised,H21|Compromised,0.008,spatial
H5|Compromised,H22|Compromised,0.008,spatial
H5|Compromised,H23|Compromised,0.008,spatial
H5|Compromised,H24|Compromised,0.008,spatial
H5|Compromised,H25|Compromised,0.008,spatial
H5|Compromised,H26|Compromised,0.008,spatial
H5|Compromised,H27|Compromised,0.008,spatial
H5|Compromised,H28|Compromised,0.008,spatial
H5|Compromised,H29|Compromised,0.008,spatial
H5|Compromised,H30|Compromised,0.008,spatial
H5|Compromised,H31|Compromised,0.008,spatial
H5|Compromised,H32|Compromised,0.008,spatial
H5|Compromised,H33|Compromised,0.008,spatial
H5|Compromised,H34|Compromised,0.008,spatial
H5|Compromised,H35|Compromised,0.008,spatial
H5|Compromised,H36|Compromised,0.008,spatial
H5|Compromised,H37|Compromised,0.008,spatial
H5|Compromised,H38|Compromised,0.008,spatial
H6|Normal,H6|Compromised,0.02020270731751945,internal
H6|Compromised,H6|Down,0.051293294387550536,internal
H6|Down,H6|Mitigated,0.051293294387550536,internal
H6|Mitigated,H6|Recovered,0.051293294387550536,internal
H6|Compromised,H0|Compromised,0.008,spatial
H6|Compromised,H1|Compromised,0.008,spatial
H6|Compromised,H2|Compromised,0.008,spatial
H6|Compromised,H3|Compromised,0.008,spatial
H6|Compromised,H4|Compromised,0.008,spatial
H6|Compromised,H5|Compromised,0.008,spatial
H6|Compromised,H7|Compromised,0.008,spatial
H6|Compromised,H8|Compromised,0.008,spatial
H6|Compromised,H9|Compromised,0.008,spatial
H6|Compromised,H10|Compromised,0.008,spatial
H6|Compromised,H11|Compromised,0.008,spatial
H6|Compromised,H12|Compromised,0.008,spatial
H6|Compromised,H13|Compromised,0.008,spatial
H6|Compromised,H14|Compromised,0.008,spatial
H6|Compromised,H15|Compromised,0.008,spatial
H6|Compromised,H16|Compromised,0.008,spatial
H6|Compromised,H17|Compromised,0.008,spatial
H6|Compromised,H18|Compromised,0.008,spatial
H6|Compromised,H19|Compromised,0.008,spatial
H6|Compromised,H20|Compromised,0.008,spatial
H6|Compromised,H21|Compromised,0.008,spatial
H6|Compromised,H22|Compromised,0.008,spatial
H6|Compromised,H23|Compromised,0.008,spatial
H6|Compromised,H24|Compromised,0.008,spatial
H6|Compromised,H25|Compromised,0.008,spatial
H6|Compromised,H26|Compromised,0.008,spatial
H6|Compromised,H27|Compromised,0.008,spatial
H6|Compromised,H28|Compromised,0.008,spatial
H6|Compromised,H29|Compromised,0.008,spatial
H6|Compromised,H30|Compromised,0.008,spatial
H6|Compromised,H31|Compromised,0.008,spatial
H6|Compromised,H32|Compromised,0.008,spatial
H6|Compromised,H33|Compromised,0.008,spatial
H6|Compromised,H34|Compromised,0.008,spatial
H6|Compromised,H35|Compromised,0.008,spatial
H6|Compromised,H36|Compromised,0.008,spatial
H6|Compromised,H37|Compromised,0.008,spatial
H6|Compromised,H38|Compromised,0.008,spatial
H7|Normal,H7|Compromised,0.02020270731751945,internal
H7|Compromised,H7|Down,0.051293294387550536,internal
H7|Down,H7|Mitigated,0.051293294387550536,internal
H7|Mitigated,H7|Recovered,0.051293294387550536,internal
H7|Compromised,H0|Compromised,0.008,spatial
H7|Compromised,H1|Compromised,0.008,spatial
H7|Compromised,H2|Compromised,0.008,spatial
H7|Compromised,H3|Compromised,0.008,spatial
H7|Compromised,H4|Compromised,0.008,spatial
H7|Compromised,H5|Compromised,0.008,spatial
H7|Compromised,H6|Compromised,0.008,spatial
H7|Compromised,H8|Compromised,0.008,spatial
H7|Compromised,H9|Compromised,0.008,spatial
H7|Compromised,H10|Compromised,0.008,spatial
H7|Compromised,H11|Compromised,0.008,spatial
