source,target,rate,type
H1|Compromised,H130|Compromised,0.02,spatial
H1|Compromised,H131|Compromised,0.02,spatial
H1|Compromised,H132|Compromised,0.02,spatial
H1|Compromised,H133|Compromised,0.02,spatial
H1|Compromised,H134|Compromised,0.02,spatial
H1|Compromised,H135|Compromised,0.02,spatial
H1|Compromised,H136|Compromised,0.02,spatial
H1|Compromised,H137|Compromised,0.02,spatial
H1|Compromised,H138|Compromised,0.02,spatial
H1|Compromised,H139|Compromised,0.02,spatial
H1|Compromised,H140|Compromised,0.02,spatial
H1|Compromised,H141|Compromised,0.02,spatial
H1|Compromised,H142|Compromised,0.02,spatial
H1|Compromised,H143|Compromised,0.02,spatial
H1|Compromised,H144|Compromised,0.02,spatial
H1|Compromised,H145|Compromised,0.02,spatial
H1|Compromised,H146|Compromised,0.02,spatial
H1|Compromised,H147|Compromised,0.02,spatial
H1|Compromised,H148|Compromised,0.02,spatial
H1|Compromised,H149|Compromised,0.02,spatial
H1|Compromised,H150|Compromised,0.02,spatial
H1|Compromised,H151|Compromised,0.02,spatial
H1|Compromised,H152|Compromised,0.02,spatial
H2|Normal,H2|Compromised,0.030459207484708546,internal
H2|Compromised,H2|Down,0.10536051565782631,internal
H2|Down,H2|Mitigated,0.08338160893905106,internal
H2|Mitigated,H2|Recovered,0.07257069283483544,internal
H2|Compromised,H0|Compromised,0.02,spatial
H2|Compromised,H1|Compromised,0.02,spatial
H2|Compromised,H3|Compromised,0.02,spatial
H2|Compromised,H4|Compromised,0.02,spatial
H2|Compromised,H5|Compromised,0.02,spatial
H2|Compromised,H6|Compromised,0.02,spatial
H2|Compromised,H7|Compromised,0.02,spatial
H2|Compromised,H8|Compromised,0.02,spatial
H2|Compromised,H9|Compromised,0.02,spatial
H2|Compromised,H10|Compromised,0.02,spatial
H2|Compromised,H11|Compromised,0.02,spatial
H2|Compromised,H12|Compromised,0.02,spatial
H2|Compromised,H13|Compromised,0.02,spatial
H2|Compromised,H14|Compromised,0.02,spatial
H2|Compromised,H15|Compromised,0.02,spatial
H2|Compromised,H16|Compromised,0.02,spatial
H2|Compromised,H17|Compromised,0.02,spatial
H2|Compromised,H18|Compromised,0.02,spatial
H2|Compromised,H19|Compromised,0.02,spatial
H2|Compromised,H20|Compromised,0.02,spatial
H2|Compromised,H21|Compromised,0.02,spatial
H2|Compromised,H22|Compromised,0.02,spatial
H2|Compromised,H23|Compromised,0.02,spatial
H2|Compromised,H24|Compromised,0.02,spatial
H2|Compromised,H25|Compromised,0.02,spatial
H2|Compromised,H26|Compromised,0.02,spatial
H2|Compromised,H27|Compromised,0.02,spatial
H2|Compromised,H28|Compromised,0.02,spatial
H2|Compromised,H29|Compromised,0.02,spatial
H2|Compromised,H30|Compromised,0.02,spatial
H2|Compromised,H31|Compromised,0.02,spatial
H2|Compromised,H32|Compromised,0.02,spatial
H2|Compromised,H33|Compromised,0.02,spatial
H2|Compromised,H34|Compromised,0.02,spatial
H2|Compromised,H35|Compromised,0.02,spatial
H2|Compromised,H36|Compromised,0.02,spatial
H2|Compromised,H37|Compromised,0.02,spatial
H2|Compromised,H38|Compromised,0.02,spatial
H2|Compromised,H39|Compromised,0.02,spatial
H2|Compromised,H40|Compromised,0.02,spatial
H2|Compromised,H41|Compromised,0.02,spatial
H2|Compromised,H42|Compromised,0.02,spatial
H2|Compromised,H43|Compromised,0.02,spatial
H2|Compromised,H44|Compromised,0.02,spatial
H2|Compromised,H45|Compromised,0.02,spatial
H2|Compromised,H46|Compromised,0.02,spatial
H2|Compromised,H47|Compromised,0.02,spatial
H2|Compromised,H48|Compromised,0.02,spatial
H2|Compromised,H49|Compromised,0.02,spatial
H2|Compromised,H50|Compromised,0.02,spatial
H2|Compromised,H51|Compromised,0.02,spatial
H2|Compromised,H52|Compromised,0.02,spatial
H2|Compromised,H53|Compromised,0.02,spatial
H2|Compromised,H54|Compromised,0.02,spatial
H2|Compromised,H55|Compromised,0.02,spatial
H2|Compromised,H56|Compromised,0.02,spatial
H2|Compromised,H57|Compromised,0.02,spatial
H2|Compromised,H58|Compromised,0.02,spatial
H2|Compromised,H59|Compromised,0.02,spatial
H2|Compromised,H60|Compromised,0.02,spatial
H2|Compromised,H61|Compromised,0.02,spatial
H2|Compromised,H62|Compromised,0.02,spatial
H2|Compromised,H63|Compromised,0.02,spatial
H2|Compromised,H64|Compromised,0.02,spatial
H2|Compromised,H65|Compromised,0.02,spatial
H2|Compromised,H66|Compromised,0.02,spatial
H2|Compromised,H67|Compromised,0.02,spatial
H2|Compromised,H68|Compromised,0.02,spatial
H2|Compromised,H69|Compromised,0.02,spatial
H2|Compromised,H70|Compromised,0.02,spatial
H2|Compromised,H71|Compromised,0.02,spatial
H2|Compromised,H72|Compromised,0.02,spatial
H2|Compromised,H73|Compromised,0.02,spatial
H2|Compromised,H74|Compromised,0.02,spatial
H2|Compromised,H75|Compromised,0.02,spatial
H2|Compromised,H76|Compromised,0.02,spatial
H2|Compromised,H77|Compromised,0.02,spatial
H2|Compromised,H78|Compromised,0.02,spatial
H2|Compromised,H79|Compromised,0.02,spatial
H2|Compromised,H80|Compromised,0.02,spatial
H2|Compromised,H81|Compromised,0.02,spatial
H2|Compromised,H82|Compromised,0.02,spatial
H2|Compromised,H83|Compromised,0.02,spatial
H2|Compromised,H84|Compromised,0.02,spatial
H2|Compromised,H85|Compromised,0.02,spatial
H2|Compromised,H86|Compromised,0.02,spatial
H2|Compromised,H87|Compromised,0.02,spatial
H2|Compromised,H88|Compromised,0.02,spatial
H2|Compromised,H89|Compromised,0.02,spatial
H2|Compromised,H90|Compromised,0.02,spatial
H2|Compromised,H91|Compromised,0.02,spatial
H2|Compromised,H92|Compromised,0.02,spatial
H2|Compromised,H93|Compromised,0.02,spatial
H2|Compromised,H94|Compromised,0.02,spatial
H2|Compromised,H95|Compromised,0.02,spatial
H2|Compromised,H96|Compromised,0.02,spatial
H2|Compromised,H97|Compromised,0.02,spatial
H2|Compromised,H98|Compromised,0.02,spatial
H2|Compromised,H99|Compromised,0.02,spatial
H2|Compromised,H100|Compromised,0.02,spatial
H2|Compromised,H101|Compromised,0.02,spatial
H2|Compromised,H102|Compromised,0.02,spatial
H2|Compromised,H103|Compromised,0.02,spatial
H2|Compromised,H104|Compromised,0.02,spatial
H2|Compromised,H105|Compromised,0.02,spatial
H2|Compromised,H106|Compromised,0.02,spatial
H2|Compromised,H107|Compromised,0.02,spatial
H2|Compromised,H108|Compromised,0.02,spatial
